tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
186990	Hipposideros armiger	109375656	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_017732333.1	295217	305899	plus	10		
61621	Rhinopithecus bieti	108513004	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_016813565.1	48008	54134	minus	7		
9531	Cercocebus atys	105577214	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_012005046.1	641946	649729	minus	7		
9657	Lutra lutra	125097941	0	live	PARK7		Parkinsonism associated deglycase	Parkinson disease protein 7|Parkinson disease protein 7 homolog		4	NC_062281.1	192368044	192384391	minus	7		
52644	Haliaeetus leucocephalus	104829824	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_010972613.1	697224	703430	plus	8		
9823	Sus scrofa	100511802	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		2	NC_010444.4	472766	484609	minus	9		
9606	Homo sapiens	347862	0	live	GATD1	FERRY5, Fy-5, PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1|parkinson disease 7 domain-containing protein 1	11p15.5	11	NC_000011.10	767222	777487	minus	8		
9913	Bos taurus	511268	0	live	PARK7	DJ-1, DJ1	Parkinsonism associated deglycase	Parkinson disease protein 7 homolog|Parkinson disease (autosomal recessive, early onset) 7|maillard deglycase|parkinson disease protein 7 homolog|protein DJ-1|protein deglycase DJ-1|protein/nucleic acid deglycase DJ-1		16	NC_037343.1	45400216	45417031	minus	7		
8496	Alligator mississippiensis	102576304	0	live	PARK7	Y1Q_0011838, DJ-1	Parkinsonism associated deglycase	Parkinson disease protein 7|Parkinson disease (autosomal recessive, early onset) 7|protein deglycase DJ-1		13	NC_081836.1	20168923	20182918	plus	8		
89399	Rhinolophus sinicus	109436282	0	live	GATD1	PDDC1	glutamine amidotransferase like class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1		Un	NW_017739545.1	291712	298560	plus	9		
7897	Latimeria chalumnae	102348258	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_005819905.1	433515	447422	minus	8		
10181	Heterocephalus glaber	101706265	0	live	Gatd1	Pddc1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_004624766.1	21751221	21761727	plus	8		
59729	Taeniopygia guttata	100190506	0	live	PARK7		Parkinsonism associated deglycase	Parkinson disease protein 7|Parkinson disease (autosomal recessive, early onset) 7		21	NC_044233.2	3903087	3912040	plus	9		
8030	Salmo salar	100286560	0	live	park7		parkinson protein 7	Parkinson disease protein 7 homolog|DJ-1|parkinson disease (autosomal recessive, early onset) 7		ssa12	NC_059453.1	70532619	70539432	plus	6		
94835	Gavialis gangeticus	109299210	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_017729025.1	153437865	153464460	plus	9		
9568	Mandrillus leucophaeus	105549344	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_012104643.1	316890	321327	minus	7		
118797	Lipotes vexillifer	103078598	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_006792775.1	514447	520218	minus	8		
95602	Eriocheir sinensis	126996465	0	live	LOC126996465		Parkinson disease protein 7-like	Parkinson disease protein 7-like		10	NC_066518.1	4127375	4143313	minus	6		
121492	Corticium candelabrum	134182107	0	live	LOC134182107		Parkinson disease protein 7-like	Parkinson disease protein 7 homolog|Parkinson disease protein 7-like		7	NC_085091.1	1748699	1752229	minus	5		
2897299	Xenia sp. Carnegie-2017	124442756	0	live	LOC124442756		Parkinson disease protein 7 homolog	Parkinson disease protein 7 homolog		Un	NW_025813483.1	16496800	16501325	minus	9		
1232801	Amphibalanus amphitrite	122392449	0	live	LOC122392449		Parkinson disease protein 7 homolog	Parkinson disease protein 7 homolog		Un	NW_024881519.1	113578	273741	plus	7		
9031	Gallus gallus	421577	0	live	PARK2	PRKN	parkin RBR E3 ubiquitin protein ligase	E3 ubiquitin-protein ligase parkin|Parkinson disease (autosomal recessive, juvenile) 2, parkin|parkinson protein 2, E3 ubiquitin protein ligase (parkin)		3	NC_052534.1	44160574	44841447	plus	14		
10116	Rattus norvegicus	309110	0	live	Gatd1	Pddc1, RGD1304836	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain-containing protein 1-like|glutamine amidotransferase like class 1 domain containing 1	1q41	1	NC_086019.1	205936189	205942121	minus	8		
51338	Castor canadensis	109698318	0	live	Gatd1	Pddc1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_017869697.1	555329	562675	minus	8		
61388	Prionailurus viverrinus	125172871	0	live	PARK7		Parkinsonism associated deglycase	Parkinson disease protein 7|Parkinson disease protein 7 homolog		C1	NC_062568.1	209033944	209051853	minus	8		
41426	Phacochoerus africanus	125133420	0	live	PARK7		Parkinsonism associated deglycase	Parkinson disease protein 7|Parkinson disease protein 7 homolog		8	NC_062551.1	68295914	68312078	plus	7		
61384	Lynx rufus	124515077	0	live	PARK7		Parkinsonism associated deglycase	Parkinson disease protein 7|Parkinson disease protein 7 homolog		Un	NW_025814834.1	217289927	217307208	minus	7		
89248	Equus quagga	124240109	0	live	PARK7		Parkinsonism associated deglycase	Parkinson disease protein 7|Parkinson disease protein 7 homolog		5	NC_060271.1	42929955	42946865	minus	7		
321398	Lepidothrix coronata	108508871	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_016690499.1	447450	454137	minus	8		
198806	Calidris pugnax	106887166	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_015090829.1	43118	51104	plus	8		
9172	Sturnus vulgaris	106853219	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_014650537.1	3964792	3971653	minus	8		
30608	Microcebus murinus	105874045	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		5	NC_033664.1	9671603	9679376	plus	8		
379532	Propithecus coquereli	105816538	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_012149474.1	906416	914387	plus	8		
336983	Colobus angolensis palliatus	105503201	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_012122265.1	626693	631151	minus	7		
1868482	Carlito syrichta	103250663	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_007075053.1	2292	6033	plus	6		
7918	Lepisosteus oculatus	102693127	0	live	gatd1	pddc1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_006270144.1	30122	35963	plus	8		
9925	Capra hircus	102182766	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		29	NC_030836.1	45734596	45738810	plus	8		
181119	Pseudopodoces humilis	102099775	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_005087608.1	3133317	3140140	minus	8		
34839	Chinchilla lanigera	102011863	0	live	Gatd1	Pddc1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_004955476.1	11350827	11354844	plus	7		
94643	Besnoitia besnoiti	40305455	0	live	BESB_003920	BESB_003920	Parkinson disease 7 domain containing 1 family protein	Parkinson disease 7 domain containing 1 family protein		I	NC_042356.1	2640063	2643040	minus	2		
508771	Toxoplasma gondii ME49	7899492	0	live	TGME49_249710	TGME49_249710, TGME49_049710	Parkinson disease 7 domain containing 1 family protein			XII	NC_031480.1	4751369	4756370	plus	2		
197043	Homalodisca vitripennis	124361959	0	live	LOC124361959		Parkinson disease protein 7 homolog	Parkinson disease protein 7 homolog		5	NC_060211.1	33485191	33497193	plus	6		
85552	Scylla paramamosain	135114034	0	live	LOC135114034		Parkinson disease protein 7-like	Parkinson disease protein 7-like		27	NC_087177.1	2194517	2201596	plus	6		
29960	Penaeus indicus	134766233	0	live	LOC134766233		Parkinson disease protein 7 homolog	Parkinson disease protein 7 homolog		Un	NW_026948821.1	22461120	22477440	minus	6		
2943436	Paramacrobiotus metropolitanus	129586434	0	live	LOC129586434		Parkinson disease protein 7 homolog	Parkinson disease protein 7 homolog		Un	NW_026570240.1	1425217	1427676	plus	7		
7653	Lytechinus pictus	129276517	0	live	LOC129276517		Parkinson disease protein 7 homolog	Parkinson disease protein 7 homolog		14	NC_087258.1	19058769	19079935	plus	7		
2023355	Schistocerca serialis cubense	126458167	0	live	LOC126458167		Parkinson disease protein 7 homolog	Parkinson disease protein 7 homolog		1	NC_064638.1	765569423	765615837	minus	6		
37623	Ostrea edulis	125648051	0	live	LOC125648051		Parkinson disease protein 7 homolog	Parkinson disease protein 7 homolog		6	NC_079169.1	70614822	70727127	plus	6		
7654	Lytechinus variegatus	121428058	0	live	LOC121428058		Parkinson disease protein 7 homolog	Parkinson disease protein 7 homolog		14	NC_054753.1	22804318	22816815	minus	7		
41117	Pollicipes pollicipes	119112608	0	live	LOC119112608		Parkinson disease protein 7 homolog	Parkinson disease protein 7 homolog		Un	NW_023597054.1	13496335	13501485	plus	4		
6573	Mizuhopecten yessoensis	110450121	0	live	LOC110450121	KP79_PYT18233	Parkinson disease 7 domain-containing protein 1-like	Parkinson disease 7 domain-containing protein 1-like|Parkinson disease 7 domain-containing protein 1		Un	NW_018405829.1	209925	224530	plus	8		
70779	Acropora digitifera	107349513	0	live	LOC107349513		Parkinson disease 7 domain-containing protein 1-like	Parkinson disease 7 domain-containing protein 1-like		Un	NW_015441421.1	310853	316582	minus	8		
37621	Priapulus caudatus	106809822	0	live	LOC106809822		Parkinson disease 7 domain-containing protein 1-like	Parkinson disease 7 domain-containing protein 1-like		Un	NW_014577448.1	13124	17334	minus	9		
10090	Mus musculus	213350	0	live	Gatd1	D230016J19Rik, Pddc1	glutamine amidotransferase like class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|parkinson disease 7 domain-containing protein 1	7 86.75 cM	7	NC_000073.7	140988097	140994038	minus	8		
10090	Mus musculus	100418222	0	live	Gm19080		predicted gene, 19080		3 65.3 cM	3	NC_000069.7	140212478	140213029	minus	0		
10090	Mus musculus	620544	0	live	Gm13576		predicted gene 13576		2 37.84 cM	2	NC_000068.8	64400210	64400978	minus	0		
9031	Gallus gallus	423020	0	live	PDDC1	GATD1	Parkinson disease 7 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain-containing protein 1|glutamine amidotransferase like class 1 domain containing 1		5	NC_052536.1	650740	660444	plus	8		
9823	Sus scrofa	780404	0	live	PARK7		Parkinsonism associated deglycase	Parkinson disease protein 7|DJ-1 protein|Parkinson disease (autosomal recessive, early onset) 7		6	NC_010448.4	68629327	68645147	plus	7		
8364	Xenopus tropicalis	548568	0	live	park7	sp22	parkinson protein 7	Parkinson disease protein 7|protein/nucleic acid deglycase DJ-1|Parkinson disease (autosomal recessive, early onset) 7		7	NC_030683.2	96557820	96568094	minus	7		
105023	Nothobranchius furzeri	107385278	0	live	park7		parkinson protein 7	Parkinson disease protein 7 homolog|Parkinsonism associated deglycase|parkinson disease (autosomal recessive, early onset) 7		Un	NW_026539915.1	25777763	25783266	minus	6		
1257118	Acanthamoeba castellanii str. Neff	14911828	0	live	ACA1_134280	ACA1_134280	parkinson disease 7 domain containing protein 1, putative	parkinson disease 7 domain containing protein 1, putative		Unknown							
149040	Mollisia scopiformis	28825208	0	live	LY89DRAFT_687365	LY89DRAFT_687365	putative parkinson disease 7 domain-containing protein 1	putative parkinson disease 7 domain-containing protein 1		Unknown							
595528	Capsaspora owczarzaki ATCC 30864	14898844	0	live	CAOG_04475	CAOG_04475	parkinson disease 7 protein	parkinson disease 7 protein		Unknown							
9598	Pan troglodytes	465864	0	live	LOC465864	CK820_G0044800	Parkinson disease protein 7 homolog	Parkinson disease protein 7 homolog		X	NC_072421.2	129883559	129886320	minus	1		
8255	Paralichthys olivaceus	109624392	0	live	gatd1	pddc1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_017859644.1	8184137	8186493	minus	7		
109280	Hippocampus comes	109507590	0	live	gatd1	pddc1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_017806236.1	4998	6840	minus	7		
125878	Nanorana parkeri	108786697	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_017306490.1	744673	758195	plus	8		
307959	Sinocyclocheilus rhinocerous	107732298	0	live	gatd1	pddc1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_015666482.1	430782	437577	minus	7		
1608454	Sinocyclocheilus anshuiensis	107674843	0	live	gatd1	pddc1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_015555791.1	211413	217875	minus	7		
291302	Miniopterus natalensis	107542333	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_015504771.1	65017	69570	plus	7		
146911	Gekko japonicus	107114949	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_015169275.1	160079	175336	minus	7		
28743	Cyprinodon variegatus	107097848	0	live	gatd1	pddc1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_015151181.1	162520	164822	plus	7		
48699	Poecilia latipinna	106955825	0	live	gatd1	pddc1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_015113386.1	100006	102842	minus	7		
48701	Poecilia mexicana	106921853	0	live	gatd1	pddc1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_015095028.1	196964	199801	minus	7		
35019	Thamnophis sirtalis	106547460	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_013658683.1	413834	420907	plus	4		
52670	Austrofundulus limnaeus	106534890	0	live	gatd1	pddc1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_013953700.1	39013	41765	minus	7		
10020	Dipodomys ordii	105998578	0	live	Gatd1	Pddc1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_012267382.1	661096	666640	minus	8		
43346	Bison bison bison	104992818	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_011479269.1	64721	72618	minus	10		
8208	Notothenia coriiceps	104945741	0	live	gatd1	pddc1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_011342699.1	556844	559684	minus	7		
100784	Balearica regulorum gibbericeps	104631230	0	live	GATD1	N312_06637, PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_010769153.1	15841	25818	minus	8		
97097	Phaethon lepturus	104628373	0	live	GATD1	N335_08043, PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_010519069.1	585	5892	plus	6		
54374	Mesitornis unicolor	104535259	0	live	GATD1	N332_04992, PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_010192885.1	144	6425	plus	8		
54383	Eurypyga helias	104504662	0	live	GATD1	N326_12045, PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_010263586.1	202	6261	plus	7		
175836	Buceros rhinoceros silvestris	104494813	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_010416109.1	1252	3523	plus	4		
187382	Chlamydotis macqueenii	104474940	0	live	GATD1	N324_05718, PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_010487864.1	13543	19010	minus	6		
240206	Pterocles gutturalis	104462771	0	live	GATD1	N339_10305, PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_010114559.1	8902	19504	minus	8		
8897	Chaetura pelagica	104385145	0	live	GATD1	M959_12197, PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_009952571.1	370896	386020	minus	8		
121530	Tauraco erythrolophus	104373514	0	live	GATD1	N340_06932, PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_010048886.1	1659	9552	plus	6		
188344	Leptosomus discolor	104345651	0	live	GATD1	N330_07065, PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_009861298.1	21412	27298	minus	7		
